sepal length (cm),sepal length (cm)_shap,sepal width (cm),sepal width (cm)_shap,petal length (cm),petal length (cm)_shap,petal width (cm),petal width (cm)_shap,versicolor_margin,shift,versicolor_prob,target
5.7,0.501578513520404,3.0,-0.18963986432312854,4.2,3.3903175215070536,1.2,1.5365272066306457,3.2648377,5.238783351438542,0.96320266,1
4.9,-1.1563532620992711,3.1,-0.21321653911893787,1.5,-2.139688562705747,0.2,0.6003605344282862,-4.8828454,-2.9088997921771806,0.0075184717,0
6.1,0.8783572508961827,3.0,-0.11060639526112936,4.9,1.6697098580355356,1.8,-3.00655592865743,-2.5430408,-0.5690951428241533,0.07289541,0
6.9,0.5750637174143256,3.2,-0.10418890406227936,5.7,-1.2935048327989145,2.3,-2.147702627158391,-4.944279,-2.9703335842914385,0.0070736553,0
4.8,-1.1563532620992711,3.4,-0.21321653911893787,1.9,-2.139688562705747,0.2,0.6003605344282862,-4.8828454,-2.9088997921771806,0.0075184717,0
5.2,-1.1563532620992711,3.4,-0.21321653911893787,1.4,-2.139688562705747,0.2,0.6003605344282862,-4.8828454,-2.9088997921771806,0.0075184717,0
5.4,-1.1584851145203825,3.0,-0.18963986432312854,4.5,3.0750600203963194,1.5,1.4574392314950404,1.2104284,3.184373966711064,0.7703747,1
6.2,0.970568121481587,2.2,0.5773415319854394,4.5,3.285362090532934,1.5,1.6037795370793901,4.4631042,6.43704985763361,0.9886048,1
4.4,-1.1563532620992711,3.0,-0.21321653911893787,1.3,-2.139688562705747,0.2,0.6003605344282862,-4.8828454,-2.9088997921771806,0.0075184717,0
6.3,0.8922393801580516,2.7,0.48739506235662183,4.9,1.6831884878005698,1.8,-3.2813774642334983,-2.1924999,-0.2185542664356035,0.10042603,0
6.4,0.5750637174143256,2.8,0.0007177850472674306,5.6,-1.2935048327989145,2.2,-2.2526093167585453,-4.944279,-2.9703335842914385,0.0070736553,0
6.4,1.04712195020485,2.9,-0.13245193730939978,4.3,3.447568742516783,1.3,1.5398620459267736,3.9281557,5.902101270216008,0.9806999,1
5.1,-1.1563532620992711,3.8,-0.21321653911893787,1.9,-2.139688562705747,0.4,0.6003605344282862,-4.8828454,-2.9088997921771806,0.0075184717,0
5.0,-1.1563532620992711,3.6,-0.21321653911893787,1.4,-2.139688562705747,0.2,0.6003605344282862,-4.8828454,-2.9088997921771806,0.0075184717,0
6.7,0.5750637174143256,3.3,-0.10418890406227936,5.7,-1.2935048327989145,2.5,-2.147702627158391,-4.944279,-2.9703335842914385,0.0070736553,0
5.8,0.5626452682315305,2.7,0.8133617472236178,4.1,3.398203721020504,1.0,1.6667058287005472,4.466969,6.440914622800847,0.98864824,1
6.0,0.8958977032161783,2.2,0.5773415319854394,5.0,1.449305098021536,1.5,1.2771605512410003,2.22576,4.1997055926494795,0.9025391,0
5.8,0.5626452682315305,2.7,0.8133617472236178,3.9,3.398203721020504,1.2,1.6667058287005472,4.466969,6.440914622800847,0.98864824,1
4.9,-1.1563532620992711,3.6,-0.21321653911893787,1.4,-2.139688562705747,0.1,0.6003605344282862,-4.8828454,-2.9088997921771806,0.0075184717,0
5.0,-1.1563532620992711,3.3,-0.21321653911893787,1.4,-2.139688562705747,0.2,0.6003605344282862,-4.8828454,-2.9088997921771806,0.0075184717,0
5.5,0.04174878917651118,2.4,0.5773415319854394,3.7,3.2358272784123465,1.0,1.6254993670237516,3.5064716,5.480417243497868,0.9708713,1
5.9,0.7393202404865795,3.2,-0.11060639526112936,4.8,1.8633036491560884,1.8,-3.2358633212030066,-2.7177913,-0.7438457093066972,0.061931662,1
7.2,0.5750637174143256,3.2,-0.10418890406227936,6.0,-1.2935048327989145,1.8,-2.147702627158391,-4.944279,-2.9703335842914385,0.0070736553,0
6.9,0.6373073782597203,3.1,-0.10418890406227936,5.1,-0.6491067174896931,2.3,-2.2425457273826135,-4.3324795,-2.3585338673419756,0.01296465,0
4.9,-1.1409308774454985,2.4,0.5773415319854394,3.3,3.08499998159823,1.0,1.5625455220246554,2.1100106,4.08395623351862,0.89187235,1
5.7,0.501578513520404,4.4,-0.21321653911893787,1.5,-1.906749647160593,0.4,0.6633143794273825,-2.9290183,-0.9550726494617265,0.05073759,0
6.0,0.91498582454681,3.4,-0.18963986432312854,4.5,3.2391533483252197,1.6,1.29607545611881,3.28663,5.260575524824162,0.96396726,1
6.2,0.9572775892489257,2.9,-0.14305482608532266,4.3,3.4400593004621833,1.3,1.5398620459267736,3.820199,5.794144622343083,0.9785469,1
5.0,-1.1409308774454985,2.0,0.5773415319854394,3.5,3.08499998159823,1.0,1.5625455220246554,2.1100106,4.08395623351862,0.89187235,1
6.4,0.5750637174143256,3.1,-0.10418890406227936,5.5,-1.2935048327989145,1.8,-2.147702627158391,-4.944279,-2.9703335842914385,0.0070736553,0
5.1,-1.1563532620992711,3.3,-0.21321653911893787,1.7,-2.139688562705747,0.5,0.6003605344282862,-4.8828454,-2.9088997921771806,0.0075184717,0
6.0,0.9325400616216939,2.2,0.5773415319854394,4.0,3.3553490231112977,1.0,1.6254993670237516,4.5167837,6.490729323881169,0.9891939,1
6.8,0.5750637174143256,3.2,-0.10418890406227936,5.9,-1.2935048327989145,2.3,-2.147702627158391,-4.944279,-2.9703335842914385,0.0070736553,0
5.6,0.39289801892508486,2.9,-0.14305482608532266,3.6,3.3715402621809125,1.3,1.545447745734626,3.1928854,5.1668310084514815,0.9605656,1
5.1,-1.1563532620992711,3.4,-0.21321653911893787,1.5,-2.139688562705747,0.2,0.6003605344282862,-4.8828454,-2.9088997921771806,0.0075184717,0
6.7,0.5365077557798941,2.5,0.36286123203379766,5.8,-1.2953089167338996,1.8,-2.3437471003604253,-4.713633,-2.739687450868587,0.008892339,0
6.4,0.5365077557798941,2.7,0.4398342091299128,5.3,-1.2935048327989145,1.9,-2.4225241627344594,-4.713633,-2.739687450868587,0.008892339,0
5.6,0.39076616650397356,3.0,-0.18963986432312854,4.5,3.289221676615333,1.5,1.5203930764941365,3.0367954,5.010740987318059,0.954209,1
